Data as of,Date of Death Year,Quarter,Race or Hispanic Origin,Age Group,SCD_Underlying,SCD_Multi,SCD and COVID-19
11/6/2020,2019,1,Non - Hispanic black,<5 years,6,7,0
11/6/2020,2019,1,Non - Hispanic black,15-19 years,2,2,0
11/6/2020,2019,1,Non - Hispanic black,20-24 years,6,11,0
11/6/2020,2019,1,Non - Hispanic black,25-39 years,35,58,0
11/6/2020,2019,1,Non - Hispanic black,40-59 years,44,77,0
11/6/2020,2019,1,Non - Hispanic black,5-14 years,4,4,0
11/6/2020,2019,1,Non - Hispanic black,60+ years,19,35,0
11/6/2020,2019,1,Non - Hispanic white,40-59 years,1,1,0
11/6/2020,2019,1,Non - Hispanic white,60+ years,0,2,0
11/6/2020,2019,1,Other,15-19 years,1,2,0
11/6/2020,2019,1,Other,20-24 years,1,1,0
11/6/2020,2019,1,Other,25-39 years,6,12,0
11/6/2020,2019,1,Other,40-59 years,8,17,0
11/6/2020,2019,1,Other,60+ years,2,3,0
11/6/2020,2019,2,Non - Hispanic black,<5 years,2,3,0
11/6/2020,2019,2,Non - Hispanic black,15-19 years,2,3,0
11/6/2020,2019,2,Non - Hispanic black,20-24 years,1,3,0
11/6/2020,2019,2,Non - Hispanic black,25-39 years,33,59,0
11/6/2020,2019,2,Non - Hispanic black,40-59 years,35,61,0
11/6/2020,2019,2,Non - Hispanic black,5-14 years,1,3,0
11/6/2020,2019,2,Non - Hispanic black,60+ years,15,36,0
11/6/2020,2019,2,Non - Hispanic white,25-39 years,0,1,0
11/6/2020,2019,2,Non - Hispanic white,60+ years,1,4,0
11/6/2020,2019,2,Other,<5 years,0,1,0
11/6/2020,2019,2,Other,15-19 years,1,1,0
11/6/2020,2019,2,Other,20-24 years,3,3,0
11/6/2020,2019,2,Other,25-39 years,5,9,0
11/6/2020,2019,2,Other,40-59 years,13,18,0
11/6/2020,2019,2,Other,5-14 years,1,2,0
11/6/2020,2019,2,Other,60+ years,1,6,0
11/6/2020,2019,3,Non - Hispanic black,20-24 years,3,4,0
11/6/2020,2019,3,Non - Hispanic black,25-39 years,24,45,0
11/6/2020,2019,3,Non - Hispanic black,40-59 years,46,82,0
11/6/2020,2019,3,Non - Hispanic black,5-14 years,3,5,0
11/6/2020,2019,3,Non - Hispanic black,60+ years,14,27,0
11/6/2020,2019,3,Non - Hispanic white,25-39 years,1,1,0
11/6/2020,2019,3,Non - Hispanic white,60+ years,2,4,0
11/6/2020,2019,3,Other,15-19 years,1,1,0
11/6/2020,2019,3,Other,20-24 years,0,1,0
